	prop.value	propLabel.value
0	http://www.wikidata.org/entity/P25	mother
1	http://www.wikidata.org/entity/P140	religion
2	http://www.wikidata.org/entity/P37	official language
3	http://www.wikidata.org/entity/P163	flag
4	http://www.wikidata.org/entity/P38	currency
5	http://www.wikidata.org/entity/P53	family
6	http://www.wikidata.org/entity/P86	composer
7	http://www.wikidata.org/entity/P172	ethnic group
8	http://www.wikidata.org/entity/P84	architect
9	http://www.wikidata.org/entity/P110	illustrator
10	http://www.wikidata.org/entity/P109	signature
11	http://www.wikidata.org/entity/P123	publisher
12	http://www.wikidata.org/entity/P149	architectural style
13	http://www.wikidata.org/entity/P58	screenwriter
14	http://www.wikidata.org/entity/P57	director
15	http://www.wikidata.org/entity/P50	author
16	http://www.wikidata.org/entity/P22	father
17	http://www.wikidata.org/entity/P106	occupation
18	http://www.wikidata.org/entity/P97	noble title
19	http://www.wikidata.org/entity/P16	highway system
20	http://www.wikidata.org/entity/P19	place of birth
21	http://www.wikidata.org/entity/P98	editor
22	http://www.wikidata.org/entity/P10	video
23	http://www.wikidata.org/entity/P170	creator
24	http://www.wikidata.org/entity/P136	genre
25	http://www.wikidata.org/entity/P88	commissioned by
26	http://www.wikidata.org/entity/P39	position held
27	http://www.wikidata.org/entity/P178	developer
28	http://www.wikidata.org/entity/P102	member of political party
29	http://www.wikidata.org/entity/P108	employer
30	http://www.wikidata.org/entity/P111	measured physical quantity
31	http://www.wikidata.org/entity/P118	league
32	http://www.wikidata.org/entity/P162	producer
33	http://www.wikidata.org/entity/P119	place of burial
34	http://www.wikidata.org/entity/P131	located in the administrative territorial entity
35	http://www.wikidata.org/entity/P166	award received
36	http://www.wikidata.org/entity/P169	chief executive officer
37	http://www.wikidata.org/entity/P171	parent taxon
38	http://www.wikidata.org/entity/P175	performer
39	http://www.wikidata.org/entity/P176	manufacturer
40	http://www.wikidata.org/entity/P21	sex or gender
41	http://www.wikidata.org/entity/P78	top-level Internet domain
42	http://www.wikidata.org/entity/P17	country
43	http://www.wikidata.org/entity/P51	audio
44	http://www.wikidata.org/entity/P40	child
45	http://www.wikidata.org/entity/P18	image
46	http://www.wikidata.org/entity/P36	capital
47	http://www.wikidata.org/entity/P87	librettist
48	http://www.wikidata.org/entity/P135	movement
49	http://www.wikidata.org/entity/P114	airline alliance
50	http://www.wikidata.org/entity/P59	constellation
51	http://www.wikidata.org/entity/P65	site of astronomical discovery
